company_code1|company_code2|company_code3|company_code4|pay_type|pol_no|app_no|ins_date|eff_date|cur_code|pre_amt_all|usd_amt_all|pay_amt_all|usd_pay_amt_all|app_name|app_cst_no|id_no|cus_pro|sur_name|sur_id_no|sur_date|pay_date|cur_code2|sur_amt|usd_sur_amt|tsf_flag|acc_name|acc_no|acc_bank|receipt_no|endorse_no|pt
"33640000"|"F1008933000020"|""|""|"12"|"P336402001201900000002"|"T336402001201900000004"|"190725"|"190726"|""|"null"|"null"|"null"|"null"|"杨成松"|"11200022343546576879800006"|"234354657687980"|"11"|""|""|""|""|""|"null"|"null"|"11"|"杨成松"|"null"|"null"|"T336402001201900000004"|"P336402001201900000002-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"12"|"P336404000201800000003"|"T336404000201800000007"|"181214"|"181215"|""|"null"|"null"|"null"|"null"|"浙分-测试"|"21100026234325435213400008"|"62343254352134"|"12"|""|""|""|""|""|"null"|"null"|"11"|"浙分-测试"|"null"|"null"|"T336404000201800000007"|"P336404000201800000003-02"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336404000201800000004"|"T336404000201800000009"|"181214"|"181215"|""|"null"|"null"|"null"|"null"|"浙分-测试"|"21100026234325435213400008"|"62343254352134"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336404000201800000009"|"P336404000201800000004-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336404002201800000003"|"T336404002201800000004"|"181211"|"181212"|""|"null"|"null"|"null"|"null"|"浙分-测试"|"21100026234325435213400008"|"62343254352134"|"12"|""|""|""|""|""|"null"|"null"|"11"|"浙分-测试"|"null"|"null"|"T336404002201800000004"|"P336404002201800000003-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336404002201800000004"|"T336404002201800000006"|"181211"|"181212"|""|"null"|"null"|"null"|"null"|"浙分-测试"|"21100026234325435213400008"|"62343254352134"|"12"|""|""|""|""|""|"null"|"null"|"11"|"浙分-测试"|"null"|"null"|"T336404002201800000006"|"P336404002201800000004-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336404604201800000007"|"T336404604201800000011"|"181210"|"181211"|""|"null"|"null"|"null"|"null"|"许露露"|"11200021244412300000000000"|"12444123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336404604201800000011"|"P336404604201800000007-01"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"12"|"P336404803201800000001"|"T336404803201800000003"|"181221"|"181222"|""|"null"|"null"|"null"|"null"|"测试-浙分"|"21001112131242342350000005"|"213124234235"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336404803201800000003"|"P336404803201800000001-02"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"11"|"P336406202201800000002"|"T336406202201800000006"|"181207"|"181208"|""|"null"|"null"|"null"|"null"|"秦羽"|"11200011101011980010101174"|"110101198001010117"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T336406202201800000006"|"P336406202201800000002-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201800000025"|"T997301001201800000062"|"180712"|"180713"|""|"null"|"null"|"null"|"null"|"张三"|"11200013307261989060700195"|"330726198906070019"|"11"|""|""|""|""|""|"null"|"null"|"11"|"张三三"|"19399901040059741"|"null"|"T997301001201800000062"|"P997301001201800000025-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201800000027"|"T997301001201800000065"|"180712"|"180713"|""|"null"|"null"|"null"|"null"|"张三"|"11200013307261989060700195"|"330726198906070019"|"11"|""|""|""|""|""|"null"|"null"|"11"|"张三三"|"19399901040059741"|"null"|"T997301001201800000065"|"P997301001201800000027-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201800000069"|"T997301001201800000146"|"181123"|"181124"|""|"null"|"null"|"null"|"null"|"speck"|"21001122345670000000000000"|"234567"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201800000146"|"P997301001201800000069-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201800000071"|"T997301001201800000151"|"181128"|"181129"|""|"null"|"null"|"null"|"null"|"speck"|"21001122345670000000000000"|"234567"|"12"|""|""|""|""|""|"null"|"null"|"11"|"秦羽"|"null"|"null"|"T997301001201800000151"|"P997301001201800000071-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201800000077"|"T997301001201800000162"|"181220"|"181221"|""|"null"|"null"|"null"|"null"|"speck"|"21001122345670000000000000"|"234567"|"12"|""|""|""|""|""|"null"|"null"|"11"|"秦羽"|"null"|"null"|"T997301001201800000162"|"P997301001201800000077-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201800000079"|"T997301001201800000166"|"181221"|"181214"|""|"null"|"null"|"null"|"null"|"许露露"|"11200049856984596074000002"|"9856984596074"|"11"|""|""|""|""|""|"null"|"null"|"11"|"秦羽"|"null"|"null"|"T997301001201800000166"|"P997301001201800000079-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201800000082"|"T997301001201800000171"|"181228"|"181229"|""|"null"|"null"|"null"|"null"|"许露露"|"21001117666666666600000000"|"76666666666"|"12"|""|""|""|""|""|"null"|"null"|"11"|"秦羽"|"null"|"null"|"T997301001201800000171"|"P997301001201800000082-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201800000078"|"T997301001201800000172"|"181221"|"181222"|""|"null"|"null"|"null"|"null"|"speck"|"21001122345670000000000000"|"234567"|"12"|""|""|""|""|""|"null"|"null"|"11"|"秦羽"|"null"|"null"|"T997301001201800000172"|"P997301001201800000078-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201800000075"|"T997301001201900000021"|"181211"|"181212"|""|"null"|"null"|"null"|"null"|"上海宏盛电子有限公司"|"21001129900022093300000000"|"99000220933"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000021"|"P997301001201800000075-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000021"|"T997301001201900000072"|"190327"|"190327"|""|"null"|"null"|"null"|"null"|"战略客户"|"21100036134324345346000001"|"6134324345346"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000072"|"P997301001201900000021-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000025"|"T997301001201900000081"|"190409"|"190410"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000081"|"P997301001201900000025-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000033"|"T997301001201900000095"|"190416"|"190417"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000095"|"P997301001201900000033-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201900000034"|"T997301001201900000098"|"190422"|"190423"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000098"|"P997301001201900000034-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201900000042"|"T997301001201900000103"|"190506"|"190507"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T997301001201900000103"|"P997301001201900000042-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000043"|"T997301001201900000105"|"190506"|"190501"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T997301001201900000105"|"P997301001201900000043-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000044"|"T997301001201900000107"|"190506"|"190501"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T997301001201900000107"|"P997301001201900000044-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000046"|"T997301001201900000110"|"190506"|"190501"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T997301001201900000110"|"P997301001201900000046-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000047"|"T997301001201900000112"|"190507"|"190508"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"11"|"许露露"|"null"|"null"|"T997301001201900000112"|"P997301001201900000047-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000049"|"T997301001201900000116"|"190514"|"190501"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000116"|"P997301001201900000049-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000050"|"T997301001201900000120"|"190514"|"190501"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000120"|"P997301001201900000050-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301001201900000056"|"T997301001201900000129"|"190521"|"190522"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000129"|"P997301001201900000056-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201900000058"|"T997301001201900000134"|"190521"|"190522"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000134"|"P997301001201900000058-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301001201900000059"|"T997301001201900000136"|"190614"|"190614"|""|"null"|"null"|"null"|"null"|"许露露"|"11200028435608349053790401"|"84356083490537904"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301001201900000136"|"P997301001201900000059-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201800000017"|"T997301002201800000027"|"180514"|"180515"|""|"null"|"null"|"null"|"null"|"软通太平"|"11200021244132000000000000"|"1244132"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000027"|"P997301002201800000017-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201800000022"|"T997301002201800000043"|"180531"|"180601"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000043"|"P997301002201800000022-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000026"|"T997301002201800000052"|"180611"|"180611"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000052"|"P997301002201800000026-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000027"|"T997301002201800000054"|"180611"|"180612"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000054"|"P997301002201800000027-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000031"|"T997301002201800000062"|"180625"|"180626"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"11"|"盛腾"|"null"|"null"|"T997301002201800000062"|"P997301002201800000031-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000032"|"T997301002201800000064"|"180625"|"180626"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000064"|"P997301002201800000032-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000033"|"T997301002201800000066"|"180626"|"180626"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000066"|"P997301002201800000033-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000034"|"T997301002201800000068"|"180626"|"180626"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"11"|"盛腾"|"null"|"null"|"T997301002201800000068"|"P997301002201800000034-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201800000030"|"T997301002201800000071"|"180625"|"180626"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000071"|"P997301002201800000030-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000048"|"T997301002201800000091"|"180705"|"180705"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000091"|"P997301002201800000048-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201800000049"|"T997301002201800000095"|"180705"|"180706"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000095"|"P997301002201800000049-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000052"|"T997301002201800000105"|"180705"|"180701"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000105"|"P997301002201800000052-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000054"|"T997301002201800000111"|"180706"|"180707"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"11"|"盛腾"|"null"|"null"|"T997301002201800000111"|"P997301002201800000054-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000055"|"T997301002201800000113"|"180706"|"180707"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000113"|"P997301002201800000055-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000060"|"T997301002201800000121"|"180709"|"180710"|""|"null"|"null"|"null"|"null"|"门左右卫"|"21001121241231244123400000"|"12412312441234"|"12"|""|""|""|""|""|"null"|"null"|"11"|"门左右卫"|"null"|"null"|"T997301002201800000121"|"P997301002201800000060-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000061"|"T997301002201800000123"|"180709"|"180710"|""|"null"|"null"|"null"|"null"|"门左右卫"|"21001121241231244123400000"|"12412312441234"|"12"|""|""|""|""|""|"null"|"null"|"11"|"门左右卫"|"null"|"null"|"T997301002201800000123"|"P997301002201800000061-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000062"|"T997301002201800000125"|"180709"|"180710"|""|"null"|"null"|"null"|"null"|"门左右卫"|"21001121241231244123400000"|"12412312441234"|"12"|""|""|""|""|""|"null"|"null"|"11"|"门左右卫"|"null"|"null"|"T997301002201800000125"|"P997301002201800000062-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201800000040"|"T997301002201800000133"|"180629"|"180630"|""|"null"|"null"|"null"|"null"|"山水集团"|"21001111234567890000000000"|"1234567890"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000133"|"P997301002201800000040-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201800000067"|"T997301002201800000141"|"180726"|"180727"|""|"null"|"null"|"null"|"null"|"门左右卫"|"21001121241231244123400000"|"12412312441234"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201800000141"|"P997301002201800000067-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000136"|"T997301002201800000259"|"181228"|"181229"|""|"null"|"null"|"null"|"null"|"蓝忘机"|"11200021341415414500000000"|"13414154145"|"11"|""|""|""|""|""|"null"|"null"|"11"|"秦羽"|"null"|"null"|"T997301002201800000259"|"P997301002201800000136-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201900000006"|"T997301002201900000015"|"190222"|"190223"|""|"null"|"null"|"null"|"null"|"测试数据001"|"21001121111111111111111116"|"11111111111111111111"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000015"|"P997301002201900000006-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201900000005"|"T997301002201900000018"|"190123"|"190124"|""|"null"|"null"|"null"|"null"|"测试数据001"|"21001121111111111111111116"|"11111111111111111111"|"12"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000018"|"P997301002201900000005-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000008"|"T997301002201900000021"|"190313"|"190314"|""|"null"|"null"|"null"|"null"|"许露露"|"11200034839568348503409705"|"48395683485034097"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000021"|"P997301002201900000008-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000014"|"T997301002201900000047"|"190403"|"190404"|""|"null"|"null"|"null"|"null"|"许露露"|"11200033948509940375903006"|"3948509940375903"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000047"|"P997301002201900000014-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000017"|"T997301002201900000050"|"190403"|"190404"|""|"null"|"null"|"null"|"null"|"许露露"|"11200024385690347907490305"|"43856903479074903"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000050"|"P997301002201900000017-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000018"|"T997301002201900000054"|"190416"|"190415"|""|"null"|"null"|"null"|"null"|"许露露"|"11200033948509940375903006"|"3948509940375903"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000054"|"P997301002201900000018-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000019"|"T997301002201900000056"|"180521"|"180522"|""|"null"|"null"|"null"|"null"|"软通太平"|"11200021244132000000000000"|"1244132"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000056"|"P997301002201800000019-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201800000023"|"T997301002201900000059"|"180531"|"180601"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000059"|"P997301002201800000023-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"12"|"P997301002201900000024"|"T997301002201900000066"|"190506"|"190507"|""|"null"|"null"|"null"|"null"|"魏无羡"|"11200024315145140000000000"|"431514514"|"11"|""|""|""|""|""|"null"|"null"|"11"|"魏无羡"|"null"|"null"|"T997301002201900000066"|"P997301002201900000024-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000025"|"T997301002201900000072"|"190513"|"190514"|""|"null"|"null"|"null"|"null"|"魏无羡"|"11200024315145140000000000"|"431514514"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000072"|"P997301002201900000025-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000002"|"T997301002201900000074"|"190110"|"190111"|""|"null"|"null"|"null"|"null"|"蓝忘机"|"11200021341415414500000000"|"13414154145"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000074"|"P997301002201900000002-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000026"|"T997301002201900000076"|"190513"|"190514"|""|"null"|"null"|"null"|"null"|"魏无羡"|"11200024315145140000000000"|"431514514"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000076"|"P997301002201900000026-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000027"|"T997301002201900000081"|"190514"|"190501"|""|"null"|"null"|"null"|"null"|"魏无羡"|"11200024315145140000000000"|"431514514"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000081"|"P997301002201900000027-03"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000021"|"T997301002201900000082"|"190422"|"190423"|""|"null"|"null"|"null"|"null"|"魏无羡"|"11200024315145140000000000"|"431514514"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000082"|"P997301002201900000021-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000030"|"T997301002201900000093"|"190515"|"190516"|""|"null"|"null"|"null"|"null"|"魏无羡"|"11200024315145140000000000"|"431514514"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301002201900000093"|"P997301002201900000030-02"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301002201900000037"|"T997301002201900000109"|"190912"|"190901"|""|"null"|"null"|"null"|"null"|"魏无羡"|"11200024315145140000000000"|"431514514"|"11"|""|""|""|""|""|"null"|"null"|"11"|"魏无羡"|"null"|"null"|"T997301002201900000109"|"P997301002201900000037-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301003201800000009"|"T997301003201800000019"|"180524"|"180524"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301003201800000019"|"P997301003201800000009-01"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"11"|"P997301003201800000012"|"T997301003201800000025"|"180625"|"180625"|""|"null"|"null"|"null"|"null"|"王晓"|"11200013203221991013091237"|"320322199101309123"|"11"|""|""|""|""|""|"null"|"null"|"10"|"null"|"null"|"null"|"T997301003201800000025"|"P997301003201800000012-01"|"20191013000000"
