company_code1|company_code2|company_code3|app_name|app_cst_no|app_id_no|risk_code|div_date|first_type|score|norm|pt
"99730000"|"F1008933000019"|"null"|"携程航空意外2"|"21001112433243243200000000"|"24332432432"|"14"|"20181221"|"11"|"37.33"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"再保账单测试"|"21001119876543210000000000"|"987654321"|"14"|"20180811"|"11"|"33.33"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"测试数据001"|"21001121111111111111111116"|"11111111111111111111"|"14"|"20180823"|"11"|"35.00"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"测试数据001"|"21001121111111111111111116"|"11111111111111111111"|"14"|"20180905"|"12"|"35.00"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"测试数据001"|"21001121111111111111111116"|"11111111111111111111"|"14"|"20190223"|"12"|"34.00"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"再不斩"|"21001121231231000000000000"|"1231231"|"14"|"20190417"|"11"|"38.33"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"九鼎记"|"21001121324354657123512377"|"132435465712351237"|"14"|"20190409"|"11"|"41.67"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"飞行员执照丧失测试UAT"|"21001122343252352353250006"|"234325235235325"|"14"|"20190129"|"11"|"34.00"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"speck"|"21001122345670000000000000"|"234567"|"14"|"20181026"|"11"|"34.00"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"航空意外险测试3"|"21001123432142134214214003"|"3432142134214214"|"14"|"20181221"|"11"|"37.33"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"临清市鲁超精密锻造有限公司"|"21001128000000751000000000"|"8000000751"|"14"|"20190221"|"11"|"34.00"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"团UAT驾乘人员"|"21100012332432423423452301"|"23324324234234523"|"14"|"20190130"|"11"|"34.00"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"女司机"|"21100015123124312512400007"|"51231243125124"|"14"|"20181103"|"11"|"37.33"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"狗十三"|"21100015132132143251300000"|"51321321432513"|"14"|"20181010"|"11"|"37.33"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"盛腾"|"21100032345678900000000000"|"234567890"|"14"|"20180412"|"11"|"49.33"|"依据评分分值划分"|"20191013000000"
"99730000"|"F1008933000019"|"null"|"飞天大圣-李衮"|"21100033124125123124500002"|"31241251231245"|"14"|"20180512"|"11"|"47.33"|"依据评分分值划分"|"20191013000000"
